# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.39992957651412864
# n_degenerate 4
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3 mass4
6.513636946550790952e-02 9.326425903126905892e-01 2.551252621114134533e-01 2.551252621114134533e-01 6.023700520485785193e-01 6.023728739112989006e-01 2.672697395675119325e-01 2.672686678425834628e-01
6.513636946550790952e-02 -9.326425903126905892e-01 2.551252621114134533e-01 2.551252621114134533e-01 6.023733017509493859e-01 6.023693354172975356e-01 2.672689671295013225e-01 2.672694785618721647e-01
6.513636946550790952e-02 9.326425903126905892e-01 -2.551252621114134533e-01 2.551252621114134533e-01 6.023726584317909971e-01 6.023705717268613702e-01 2.672692618820838861e-01 2.672693050111477620e-01
6.513636946550790952e-02 9.326425903126905892e-01 2.551252621114134533e-01 -2.551252621114134533e-01 6.023723585299933792e-01 6.023708854664212575e-01 2.672692138026953046e-01 2.672692075774885656e-01
6.513636946550790952e-02 -9.326425903126905892e-01 -2.551252621114134533e-01 2.551252621114134533e-01 6.023723585299933792e-01 6.023708854664212575e-01 2.672692138026953046e-01 2.672692075774885656e-01
6.513636946550790952e-02 -9.326425903126905892e-01 2.551252621114134533e-01 -2.551252621114134533e-01 6.023726584317909971e-01 6.023705717268613702e-01 2.672692618820838861e-01 2.672693050111477620e-01
6.513636946550790952e-02 9.326425903126905892e-01 -2.551252621114134533e-01 -2.551252621114134533e-01 6.023733017509493859e-01 6.023693354172975356e-01 2.672689671295013225e-01 2.672694785618721647e-01
6.513636946550790952e-02 -9.326425903126905892e-01 -2.551252621114134533e-01 -2.551252621114134533e-01 6.023700520485785193e-01 6.023728739112989006e-01 2.672697395675119325e-01 2.672686678425834628e-01
7.939343745253053808e-02 6.743601460362765865e-01 6.743601460362765865e-01 3.007935951377015416e-01 4.575326468015338821e-01 4.575400696468913675e-01 3.109360125599590630e-01 3.109319780571350722e-01
7.939343745253053808e-02 -6.743601460362765865e-01 6.743601460362765865e-01 3.007935951377015416e-01 4.575385855162875659e-01 4.575334332513675273e-01 3.109329999860819815e-01 3.109349518674218160e-01
7.939343745253053808e-02 6.743601460362765865e-01 -6.743601460362765865e-01 3.007935951377015416e-01 4.575384983585379928e-01 4.575338529398886300e-01 3.109329580024269846e-01 3.109349321927610266e-01
7.939343745253053808e-02 6.743601460362765865e-01 6.743601460362765865e-01 -3.007935951377015416e-01 4.575362246179214831e-01 4.575359652434437541e-01 3.109341497922296083e-01 3.109336480884904996e-01
7.939343745253053808e-02 -6.743601460362765865e-01 -6.743601460362765865e-01 3.007935951377015416e-01 4.575362246179214831e-01 4.575359652434437541e-01 3.109341497922296083e-01 3.109336480884904996e-01
7.939343745253053808e-02 -6.743601460362765865e-01 6.743601460362765865e-01 -3.007935951377015416e-01 4.575384983585379928e-01 4.575338529398886300e-01 3.109329580024269846e-01 3.109349321927610266e-01
7.939343745253053808e-02 6.743601460362765865e-01 -6.743601460362765865e-01 -3.007935951377015416e-01 4.575385855162875659e-01 4.575334332513675273e-01 3.109329999860819815e-01 3.109349518674218160e-01
7.939343745253053808e-02 -6.743601460362765865e-01 -6.743601460362765865e-01 -3.007935951377015416e-01 4.575326468015338821e-01 4.575400696468913675e-01 3.109360125599590630e-01 3.109319780571350722e-01
7.939343745253053808e-02 -6.743601460362765865e-01 3.007935951377015416e-01 6.743601460362765865e-01 4.575421784737351283e-01 4.575371824713549973e-01 3.109313368134768996e-01 3.109333560033307742e-01
7.939343745253053808e-02 6.743601460362765865e-01 -3.007935951377015416e-01 6.743601460362765865e-01 4.575396712548036038e-01 4.575394193205247761e-01 3.109325866828421270e-01 3.109320889949696576e-01
7.939343745253053808e-02 6.743601460362765865e-01 3.007935951377015416e-01 -6.743601460362765865e-01 4.575420618104212300e-01 4.575372896062561145e-01 3.109312699559214077e-01 3.109334831830861123e-01
7.939343745253053808e-02 -6.743601460362765865e-01 -3.007935951377015416e-01 6.743601460362765865e-01 4.575420618104212300e-01 4.575372896062561145e-01 3.109312699559214077e-01 3.109334831830861123e-01
7.939343745253053808e-02 -6.743601460362765865e-01 3.007935951377015416e-01 -6.743601460362765865e-01 4.575396712548036038e-01 4.575394193205247761e-01 3.109325866828421270e-01 3.109320889949696576e-01
7.939343745253053808e-02 6.743601460362765865e-01 -3.007935951377015416e-01 -6.743601460362765865e-01 4.575421784737351283e-01 4.575371824713549973e-01 3.109313368134768996e-01 3.109333560033307742e-01
7.939343745253053808e-02 -6.743601460362765865e-01 -3.007935951377015416e-01 -6.743601460362765865e-01 4.575356580425951059e-01 4.575436916056891401e-01 3.109342289788289415e-01 3.109304148957912628e-01
7.939343745253053808e-02 6.743601460362765865e-01 3.007935951377015416e-01 6.743601460362765865e-01 4.575356580425951059e-01 4.575436916056891401e-01 3.109342289788289415e-01 3.109304148957912628e-01
7.939343745253053808e-02 3.007935951377015416e-01 6.743601460362765865e-01 6.743601460362765865e-01 4.575360415584977525e-01 4.575434081088690097e-01 3.109344351571788900e-01 3.109303266868859716e-01
7.939343745253053808e-02 -3.007935951377015416e-01 6.743601460362765865e-01 6.743601460362765865e-01 4.575396528043021438e-01 4.575394090707793904e-01 3.109327529676494950e-01 3.109321622945042662e-01
7.939343745253053808e-02 3.007935951377015416e-01 -6.743601460362765865e-01 6.743601460362765865e-01 4.575422451378411415e-01 4.575371785989535423e-01 3.109313576878852681e-01 3.109333548660536684e-01
