# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.5109478137187771
# n_degenerate 3
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3
8.021962308552600673e-02 -5.773502691896258421e-01 -5.773502691896258421e-01 -5.773502691896258421e-01 4.409931806044531943e-01 3.591921424681808195e-01 3.591921424681808195e-01
6.513636946550790952e-02 2.551252621114133978e-01 2.551252621114133978e-01 9.326425903126905892e-01 1.586111042419869666e+00 2.798009736416912085e-01 2.754167950362423900e-01
6.513636946550790952e-02 -2.551252621114133978e-01 2.551252621114133978e-01 9.326425903126905892e-01 1.586111099288578741e+00 2.798009715111970386e-01 2.754167970271889088e-01
6.513636946550790952e-02 2.551252621114133978e-01 -2.551252621114133978e-01 9.326425903126905892e-01 1.586111004944134928e+00 2.798009702082676076e-01 2.754167938862069898e-01
6.513636946550790952e-02 2.551252621114133978e-01 2.551252621114133978e-01 -9.326425903126905892e-01 1.586111088577508488e+00 2.798009708790699657e-01 2.754167940472226350e-01
6.513636946550790952e-02 -2.551252621114133978e-01 -2.551252621114133978e-01 9.326425903126905892e-01 1.586111088577508488e+00 2.798009708790699657e-01 2.754167940472226350e-01
6.513636946550790952e-02 -2.551252621114133978e-01 2.551252621114133978e-01 -9.326425903126905892e-01 1.586111004944134928e+00 2.798009702082676076e-01 2.754167938862069898e-01
6.513636946550790952e-02 2.551252621114133978e-01 -2.551252621114133978e-01 -9.326425903126905892e-01 1.586111099288578741e+00 2.798009715111970386e-01 2.754167970271889088e-01
6.513636946550790952e-02 -2.551252621114133978e-01 -2.551252621114133978e-01 -9.326425903126905892e-01 1.586111042419869666e+00 2.798009736416912085e-01 2.754167950362423900e-01
6.513636946550790952e-02 -2.551252621114133978e-01 9.326425903126905892e-01 2.551252621114133978e-01 1.586111097964180594e+00 2.798009710589418053e-01 2.754167914938266959e-01
6.513636946550790952e-02 2.551252621114133978e-01 -9.326425903126905892e-01 2.551252621114133978e-01 1.586111176113135901e+00 2.798009699788280846e-01 2.754167931695874483e-01
6.513636946550790952e-02 2.551252621114133978e-01 9.326425903126905892e-01 -2.551252621114133978e-01 1.586111093331151967e+00 2.798009704317457325e-01 2.754167918316885455e-01
6.513636946550790952e-02 -2.551252621114133978e-01 -9.326425903126905892e-01 2.551252621114133978e-01 1.586111093331151967e+00 2.798009704317457325e-01 2.754167918316885455e-01
6.513636946550790952e-02 -2.551252621114133978e-01 9.326425903126905892e-01 -2.551252621114133978e-01 1.586111176113135901e+00 2.798009699788280846e-01 2.754167931695874483e-01
6.513636946550790952e-02 2.551252621114133978e-01 -9.326425903126905892e-01 -2.551252621114133978e-01 1.586111097964180594e+00 2.798009710589418053e-01 2.754167914938266959e-01
6.513636946550790952e-02 -2.551252621114133978e-01 -9.326425903126905892e-01 -2.551252621114133978e-01 1.586111001278390553e+00 2.798009686799832751e-01 2.754167952425392030e-01
6.513636946550790952e-02 2.551252621114133978e-01 9.326425903126905892e-01 2.551252621114133978e-01 1.586111001278390553e+00 2.798009686799832751e-01 2.754167952425392030e-01
6.513636946550790952e-02 9.326425903126905892e-01 2.551252621114133978e-01 2.551252621114133978e-01 1.586111084955516226e+00 2.798009711902393337e-01 2.754167924908686449e-01
6.513636946550790952e-02 -9.326425903126905892e-01 2.551252621114133978e-01 2.551252621114133978e-01 1.586111147859700310e+00 2.798009719655130678e-01 2.754167935411427903e-01
6.513636946550790952e-02 9.326425903126905892e-01 -2.551252621114133978e-01 2.551252621114133978e-01 1.586111112544385637e+00 2.798009709562367386e-01 2.754167932157243759e-01
6.513636946550790952e-02 9.326425903126905892e-01 2.551252621114133978e-01 -2.551252621114133978e-01 1.586111153372508076e+00 2.798009709952433144e-01 2.754167926973794533e-01
6.513636946550790952e-02 -9.326425903126905892e-01 -2.551252621114133978e-01 2.551252621114133978e-01 1.586111153372508076e+00 2.798009709952433144e-01 2.754167926973794533e-01
6.513636946550790952e-02 -9.326425903126905892e-01 2.551252621114133978e-01 -2.551252621114133978e-01 1.586111112544385637e+00 2.798009709562367386e-01 2.754167932157243759e-01
6.513636946550790952e-02 9.326425903126905892e-01 -2.551252621114133978e-01 -2.551252621114133978e-01 1.586111147859700310e+00 2.798009719655130678e-01 2.754167935411427903e-01
6.513636946550790952e-02 -9.326425903126905892e-01 -2.551252621114133978e-01 -2.551252621114133978e-01 1.586111084955516226e+00 2.798009711902393337e-01 2.754167924908686449e-01
7.939343745253053808e-02 6.743601460362764755e-01 6.743601460362764755e-01 3.007935951377014860e-01 5.215153014754357885e-01 4.164786682989103372e-01 2.843181919642042699e-01
7.939343745253053808e-02 -6.743601460362764755e-01 6.743601460362764755e-01 3.007935951377014860e-01 5.215153057890199451e-01 4.164786615348333165e-01 2.843181949639453920e-01
7.939343745253053808e-02 6.743601460362764755e-01 -6.743601460362764755e-01 3.007935951377014860e-01 5.215152953237652822e-01 4.164786626521240209e-01 2.843181909575271948e-01
7.939343745253053808e-02 6.743601460362764755e-01 6.743601460362764755e-01 -3.007935951377014860e-01 5.215152983168880318e-01 4.164786603170972934e-01 2.843181933472738177e-01
7.939343745253053808e-02 -6.743601460362764755e-01 -6.743601460362764755e-01 3.007935951377014860e-01 5.215152983168880318e-01 4.164786603170972934e-01 2.843181933472738177e-01
7.939343745253053808e-02 -6.743601460362764755e-01 6.743601460362764755e-01 -3.007935951377014860e-01 5.215152953237652822e-01 4.164786626521240209e-01 2.843181909575271948e-01
7.939343745253053808e-02 6.743601460362764755e-01 -6.743601460362764755e-01 -3.007935951377014860e-01 5.215153057890199451e-01 4.164786615348333165e-01 2.843181949639453920e-01
7.939343745253053808e-02 -6.743601460362764755e-01 -6.743601460362764755e-01 -3.007935951377014860e-01 5.215153014754357885e-01 4.164786682989103372e-01 2.843181919642042699e-01
7.939343745253053808e-02 -6.743601460362764755e-01 3.007935951377014860e-01 6.743601460362764755e-01 5.215152935016590385e-01 4.164786570363194773e-01 2.843181928043049811e-01
7.939343745253053808e-02 6.743601460362764755e-01 -3.007935951377014860e-01 6.743601460362764755e-01 5.215152932798562402e-01 4.164786616744131087e-01 2.843181912263898492e-01
7.939343745253053808e-02 6.743601460362764755e-01 3.007935951377014860e-01 -6.743601460362764755e-01 5.215152958231091818e-01 4.164786647569909128e-01 2.843181916012624821e-01
